"String ID","Source text","Translation","Context","Path","Filename"
"411","flight envelope protection off","vluchtbegrenzing uit","plane","","fepoff.wav"
"412","timer 1 reset","timer één gereset","","","timrs1.wav"
"413","timer 2 reset","timer twee gereset","","","timrs2.wav"
"414","timer 3 reset","timer drie gereset","","","timrs3.wav"
"415","expo 1","expo één","","","expo1.wav"
"416","expo 2","expo twee","","","expo2.wav"
"417","expo 3","expo drie","","","expo3.wav"
"418","active","actief","","","active.wav"
"419","deactivated","gedeactiveerd","","","deact.wav"
"420","enabled","ingeschakeld","","","enabl.wav"
"421","disabled","uitgeschakeld","","","disabl.wav"
"422","good","goed","","","good.wav"
"423","bad","slecht","","","bad.wav"
"424","normal","normaal","","","normal.wav"
"425","warning","waarschuwing","","","warnng.wav"
"426","danger","gevaar","","","danger.wav"
"427","ready to fly","klaar om te vliegen","","","ready.wav"
"428","home reset","thuispunt gereset","","","homrst.wav"
"429","GPS","GPS","","","gps.wav"
"430","GPS on","GPS aan","","","gpson.wav"
"431","GPS off","GPS uit","","","gpsoff.wav"
"432","VTX Frequency R1","VTX frequentie R één","video","","vtxfr1.wav"
"433","VTX Frequency R2","VTX frequentie R twee","video","","vtxfr2.wav"
"434","VTX Frequency R3","VTX frequentie R drie","video","","vtxfr3.wav"
"435","VTX Frequency R4","VTX frequentie R vier","video","","vtxfr4.wav"
"436","VTX Frequency R5","VTX frequentie R vijf","video","","vtxfr5.wav"
"437","VTX Frequency R6","VTX frequentie R zes","video","","vtxfr6.wav"
"438","VTX Frequency R7","VTX frequentie R zeven","video","","vtxfr7.wav"
"439","VTX Frequency R8","VTX frequentie R acht","video","","vtxfr8.wav"
"440","VTX Maximum Power","VTX maximaal vermogen","video","","vtxmax.wav"
"441","blackbox erase","blackbox wissen","","","blkers.wav"
"442","acro trainer mode","acro trainer modus","","","actnmd.wav"
"443","Camera wifi button","camera wifi knop","camera","","cwifi.wav"
"444","Camera power button","camera aan-uit knop","camera","","cpower.wav"
"445","Camera change mode","camera modus wisselen","camera","","cmode.wav"
"446","Camera start","camera start","camera","","cstart.wav"
"447","Camera stop","camera stop","camera","","cstop.wav"
"448","Recording start","opname gestart","","","recsrt.wav"
"449","Recording stop","opname gestopt","","","recstp.wav"
"450","Start recording","opname starten","","","strtrc.wav"
"451","Stop recording","opname stoppen","","","stoprc.wav"
"452","DBM","dee bee em","","SYSTEM","dbm0.wav"
"453","DBM","dee bee em","","SYSTEM","dbm1.wav"
"454","kilometer","kilometer","","SYSTEM","km0.wav"
"455","kilometers","kilometer","","SYSTEM","km1.wav"
"456","Reverse Thrust","omkeerstuwing","plane","","revthr.wav"
"457","Reverse Thrust On","omkeerstuwing aan","plane","","revon.wav"
"458","Reverse Thrust Off","omkeerstuwing uit","plane","","revoff.wav"
"459","Reverse Thrust Idle","omkeerstuwing stationair","plane","","revid.wav"
"460","Forward Thrust","voorwaartse stuwing","plane","","revfwd.wav"
"461","telemetry connected","telemetrie verbonden","","SYSTEM","telemco.wav"
"462","level mode","level modus","flight controller","","lvlmod.wav"
"463","diffs locked","differentiëlen vergrendeld","car","","difloc.wav"
"464","diffs unlocked","differentiëlen ontgrendeld","car","","difulc.wav"
"465","engine start","motor starten","car","","engsrt.wav"
"466","engine stop","motor stoppen","car","","engstp.wav"
"467","engine on","motor aan","car","","engon.wav"
"468","Turn signals on","richtingaanwijzers aan","car","","turnon.wav"
"469","Turn signals off","richtingaanwijzers uit","car","","turnof.wav"
"470","High gear","hoge versnelling","car","","highgr.wav"
"471","Low gear","lage versnelling","car","","lowgr.wav"
"472","Dig mode","dig modus","car","","digmod.wav"
"473","Two wheel drive","tweewielaandrijving","car","","2wd.wav"
"474","Four wheel drive","vierwielaandrijving","car","","4wd.wav"
"475","Winch in","lier in","car","","wchin.wav"
"476","Winch out","lier uit","car","","wchout.wav"
"477","Front Steer","voorwielbesturing","car","","str-f.wav"
"478","Rear Steer","achterwielbesturing","car","","str-r.wav"
